source,text,created_at,retweet_count,favorite_count,word_count,sentiment
Twitter for iPhone,It is because I didn’t need money.,Mon May 20 11:20:53 +0000 2019,20531,101496,8,0.21213203435596423
Twitter for iPhone,Very old,Mon May 20 11:20:53 +0000 2019,20531,101496,2,0
Twitter for iPhone,"....fashioned, but true.",Mon May 20 11:20:53 +0000 2019,5570,21778,3,0
Twitter for iPhone,"When you don’t need or want money, you don’t need or want banks.",Mon May 20 11:20:53 +0000 2019,5570,21778,15,0.15491933384829668
Twitter for iPhone,"Banks have always been available to me, they want to make money.",Mon May 20 11:20:53 +0000 2019,5570,21778,12,0.40414518843273806
Twitter for iPhone,"Fake Media only says this to disparage, and always uses unnamed sources (because their sources don’t even exist)......",Mon May 20 11:20:53 +0000 2019,5570,21778,19,-0.0688247201611685
Twitter for iPhone,The Mainstream Media has never been as corrupt and deranged as it is today.,Mon May 20 11:20:53 +0000 2019,8053,26348,14,0.4008918628686366
Twitter for iPhone,FAKE NEWS is actually the biggest story of all and is the true ENEMY OF THE PEOPLE!,Mon May 20 11:20:53 +0000 2019,8053,26348,17,-0.618465843842649
Twitter for iPhone,That’s why they refuse to cover the REAL Russia Hoax.,Mon May 20 11:20:53 +0000 2019,8053,26348,11,-0.7688539286732972
Twitter for iPhone,But the American people are wise to what is going on.....,Mon May 20 11:20:53 +0000 2019,8053,26348,11,0.3392002626499841
Twitter for iPhone,....,Mon May 20 11:20:53 +0000 2019,13923,72204,NA,0
Twitter for iPhone,"Now the new big story is that Trump made a lot of money and buys everything for cash, he doesn’t need banks.",Mon May 20 11:20:53 +0000 2019,13923,72204,23,0.4066031074112958
Twitter for iPhone,But where did he get all of that cash?,Mon May 20 11:20:53 +0000 2019,13923,72204,9,0.13333333333333333
Twitter for iPhone,Could it be Russia?,Mon May 20 11:20:53 +0000 2019,13923,72204,4,0
Twitter for iPhone,"No, I built a great business and don’t need banks, but if I did they would be there...",Mon May 20 11:20:53 +0000 2019,13923,72204,19,-0.4272868043339213
Twitter for iPhone,and DeutscheBank......,Mon May 20 11:20:53 +0000 2019,13923,72204,2,0
Twitter for iPhone,The Mainstream Media hates to cover this!,Mon May 20 02:32:36 +0000 2019,11582,46031,7,-0.2834733547569204
Twitter for iPhone,https://t.co/EMhAVWCjVf,Mon May 20 02:32:36 +0000 2019,11582,46031,4,0
Twitter for iPhone,"Starting Monday, our great Farmers can begin doing business again with Mexico and Canada.",Mon May 20 02:29:27 +0000 2019,18304,69121,14,0.1336306209562122
Twitter for iPhone,They have both taken the tariff penalties off of your great agricultural product.,Mon May 20 02:29:27 +0000 2019,18304,69121,13,0.06933752452815364
Twitter for iPhone,Please be sure that you are treated fairly.,Mon May 20 02:29:27 +0000 2019,18304,69121,8,0.9545941546018392
Twitter for iPhone,Any complaints should immediately go to  @SecretarySonny Perdue!,Mon May 20 02:29:27 +0000 2019,18304,69121,8,-0.35355339059327373
Twitter for iPhone,A great win for Brooks.,Mon May 20 02:16:24 +0000 2019,6180,39645,5,0.44721359549995793
Twitter for iPhone,Congratulations to a great champion!,Mon May 20 02:16:24 +0000 2019,6180,39645,5,0.7826237921249264
Twitter for iPhone,https://t.co/74z0n2icuA,Mon May 20 02:16:24 +0000 2019,6180,39645,6,0
Twitter for iPhone,"Hard to believe that @FoxNews is wasting airtime on Mayor Pete, as Chris Wallace likes to call him.",Sun May 19 21:15:50 +0000 2019,20903,89039,18,-0.1767766952966369
Twitter for iPhone,Fox is moving more and more to the losing (wrong) side in covering the Dems.,Sun May 19 21:15:50 +0000 2019,20903,89039,15,-0.8520563361656317
Twitter for iPhone,"They got dumped from the Democrats boring debates, and they just want in.",Sun May 19 21:15:50 +0000 2019,20903,89039,13,-0.48536267169707553
Twitter for iPhone,They forgot the people.....,Sun May 19 21:15:50 +0000 2019,20903,89039,4,0
Twitter for iPhone,....,Sun May 19 21:15:50 +0000 2019,16975,79157,NA,0
Twitter for iPhone,who got them there.,Sun May 19 21:15:50 +0000 2019,16975,79157,4,0
Twitter for iPhone,"Chris Wallace said, “I actually think, whether you like his opinions or not, that Mayor Pete has a lot of substance...",Sun May 19 21:15:50 +0000 2019,16975,79157,21,-0.1091089451179962
Twitter for iPhone,"fascinating biography.” Gee, he never speaks well of me - I like Mike Wallace better...",Sun May 19 21:15:50 +0000 2019,16975,79157,14,-0.36080267658177295
Twitter for iPhone,and Alfred E. Newman will never be President!,Sun May 19 21:15:50 +0000 2019,16975,79157,8,0
Twitter for iPhone,I will be interviewed by Steve Hilton tonight at 9:00 P.M. on @FoxNews.,Sun May 19 20:39:31 +0000 2019,11187,52805,13,-0.06933752452815364
Twitter for iPhone,Enjoy!,Sun May 19 20:39:31 +0000 2019,11187,52805,1,0.75
Twitter for iPhone,"If Iran wants to fight, that will be the official end of Iran.",Sun May 19 20:25:34 +0000 2019,69924,237220,13,-0.1386750490563073
Twitter for iPhone,Never threaten the United States again!,Sun May 19 20:25:34 +0000 2019,69924,237220,6,0.10206207261596577
Twitter for iPhone,False reporting yesterday.,Sun May 19 20:15:23 +0000 2019,17870,63293,3,-0.34641016151377546
Twitter for iPhone,"“There are no plans to send migrants to Northern or Coastal Border facilities, including Florida.” @FoxNews  Not by airplanes or any other way.",Sun May 19 20:15:23 +0000 2019,17870,63293,23,0.12510864843424485
Twitter for iPhone,"Our Country is FULL, will not, and can not, take you in!",Sun May 19 20:15:23 +0000 2019,17870,63293,12,0
Twitter for iPhone,"Our Economy and Jobs Market is BOOMING, the best in the World and in our Country’s history - and we have just started!",Sun May 19 19:54:34 +0000 2019,15105,66339,23,0.05212860351426869
Twitter for iPhone,"With the wonderful College, University and other Graduations taking place all over the USA, there has never been a better time than now to graduate.",Sun May 19 19:48:45 +0000 2019,21589,110081,25,0.27
Twitter for iPhone,"Best jobs market ever, great housing and financing.",Sun May 19 19:48:45 +0000 2019,21589,110081,8,0.35355339059327373
Twitter for iPhone,"Go out there, work hard, &amp; have a GREAT life.",Sun May 19 19:48:45 +0000 2019,21589,110081,10,0.15811388300841897
Twitter for iPhone,You deserve it.,Sun May 19 19:48:45 +0000 2019,21589,110081,3,0.14433756729740646
Twitter for iPhone,Congratulations!,Sun May 19 19:48:45 +0000 2019,21589,110081,1,0.75
Twitter for iPhone,I will be interviewed by Steve Hilton tonight at 8:00 P.M. on @FoxNews.,Sun May 19 19:38:34 +0000 2019,3450,13172,13,-0.06933752452815364
Twitter for iPhone,Enjoy!,Sun May 19 19:38:34 +0000 2019,3450,13172,1,0.75
Twitter for iPhone,Watched some of the Fake News Political Shows this morning and continue to be amazed at how every question is asked in the most negative way.,Sun May 19 18:50:37 +0000 2019,21764,87449,26,-0.23533936216582088
Twitter for iPhone,The Mainstream Media should be ashamed of itself - But the good news is that the USA is wise to your game of dishonesty and deception!,Sun May 19 18:50:37 +0000 2019,21764,87449,25,-0.0625
Twitter for iPhone,"Never a fan of @justinamash, a total lightweight who opposes me and some of our great Republican ideas and policies just for the sake of getting his name out there through controversy.",Sun May 19 13:55:07 +0000 2019,20096,87447,32,0
Twitter for iPhone,"If he actually read the biased Mueller Report, “composed” by 18 Angry Dems who hated Trump,....",Sun May 19 13:55:07 +0000 2019,20096,87447,15,-0.40020827910809975
Twitter for iPhone,....,Sun May 19 13:55:07 +0000 2019,17264,78183,NA,0
Twitter for iPhone,"he would see that it was nevertheless strong on NO COLLUSION and, ultimately, NO OBSTRUCTION...Anyway, how do you Obstruct when there is no crime and, in fact, the crimes were committed by the other side?",Sun May 19 13:55:07 +0000 2019,17264,78183,36,0.375
Twitter for iPhone,Justin is a loser who sadly plays right into our opponents hands!,Sun May 19 13:55:07 +0000 2019,17264,78183,12,-0.20207259421636903
Twitter for iPhone,"....Conditions, drug prices down for first time in 51 years (&amp; soon will drop much further), Right to Try, protecting your 2nd Amendment, big Tax &amp; Reg Cuts, 3.2 GDP, Strong Foreign Policy, &amp; much much more that nobody else would have been able to do.",Sun May 19 12:49:33 +0000 2019,17895,84253,44,0.22629180188922604
Twitter for iPhone,Our Country is doing GREAT!,Sun May 19 12:49:33 +0000 2019,17895,84253,5,0.22360679774997896
